Input,distal,proximal
raw/dynamic/catheter231/unfiltered/3P,6,7
raw/dynamic/catheter231/unfiltered/HM,6,7
raw/dynamic/catheter299/unfiltered/3P,6,7
raw/dynamic/catheter299/unfiltered/HM,6,7
raw/dynamic/catheter306/unfiltered/3P,6,7
raw/dynamic/catheter306/unfiltered/HM,6,7
raw/static/trackTest-13Dec2021-C306-Y0/10/FH512_noDither_gradSpoiled-2021-12-13T15_06_28.425,6,7
raw/static/trackTest-13Dec2021-C306-Y0/10/SRI_Original-2021-12-13T15_07_09.134,6,7
raw/static/trackTest-13Dec2021-C306-Y0/11/FH512_noDither_gradSpoiled-2021-12-13T15_49_35.915,6,7
raw/static/trackTest-13Dec2021-C306-Y0/11/SRI_Original-2021-12-13T15_50_19.530,6,7
raw/static/trackTest-13Dec2021-C306-Y0/12/FH512_noDither_gradSpoiled-2021-12-13T16_01_18.656,6,7
raw/static/trackTest-13Dec2021-C306-Y0/12/SRI_Original-2021-12-13T16_02_08.072,6,7
raw/static/trackTest-13Dec2021-C306-Y0/13/FH512_noDither_gradSpoiled-2021-12-13T16_28_25.018,6,7
raw/static/trackTest-13Dec2021-C306-Y0/13/SRI_Original-2021-12-13T16_29_30.315,6,7
raw/static/trackTest-13Dec2021-C306-Y0/14/FH512_noDither_gradSpoiled-2021-12-13T16_44_00.233,6,7
raw/static/trackTest-13Dec2021-C306-Y0/14/SRI_Original-2021-12-13T16_44_45.748,6,7
raw/static/trackTest-13Dec2021-C306-Y0/15/FH512_noDither_gradSpoiled-2021-12-13T16_57_47.774,6,7
raw/static/trackTest-13Dec2021-C306-Y0/15/SRI_Original-2021-12-13T16_58_24.003,6,7
raw/static/trackTest-13Dec2021-C306-Y0/16/FH512_noDither_gradSpoiled-2021-12-13T17_24_24.747,6,7
raw/static/trackTest-13Dec2021-C306-Y0/16/SRI_Original-2021-12-13T17_25_22.580,6,7
raw/static/trackTest-13Dec2021-C306-Y0/1/FH512_noDither_gradSpoiled-2021-12-13T13_02_33.756,6,7
raw/static/trackTest-13Dec2021-C306-Y0/1/SRI_Original-2021-12-13T13_03_32.454,6,7
raw/static/trackTest-13Dec2021-C306-Y0/2/FH512_noDither_gradSpoiled-2021-12-13T13_24_58.410,6,7
raw/static/trackTest-13Dec2021-C306-Y0/2/SRI_Original-2021-12-13T13_25_57.424,6,7
raw/static/trackTest-13Dec2021-C306-Y0/3/FH512_noDither_gradSpoiled-2021-12-13T13_41_35.725,6,7
raw/static/trackTest-13Dec2021-C306-Y0/3/SRI_Original-2021-12-13T13_42_22.957,6,7
raw/static/trackTest-13Dec2021-C306-Y0/4/FH512_noDither_gradSpoiled-2021-12-13T13_54_27.202,6,7
raw/static/trackTest-13Dec2021-C306-Y0/4/SRI_Original-2021-12-13T13_55_11.879,6,7
raw/static/trackTest-13Dec2021-C306-Y0/5/FH512_noDither_gradSpoiled-2021-12-13T14_06_52.503,6,7
raw/static/trackTest-13Dec2021-C306-Y0/5/SRI_Original-2021-12-13T14_07_40.752,6,7
raw/static/trackTest-13Dec2021-C306-Y0/6/FH512_noDither_gradSpoiled-2021-12-13T14_19_11.626,6,7
raw/static/trackTest-13Dec2021-C306-Y0/6/SRI_Original-2021-12-13T14_20_00.625,6,7
raw/static/trackTest-13Dec2021-C306-Y0/7/FH512_noDither_gradSpoiled-2021-12-13T14_30_58.537,6,7
raw/static/trackTest-13Dec2021-C306-Y0/7/SRI_Original-2021-12-13T14_31_50.152,6,7
raw/static/trackTest-13Dec2021-C306-Y0/8/FH512_noDither_gradSpoiled-2021-12-13T14_43_57.523,6,7
raw/static/trackTest-13Dec2021-C306-Y0/8/SRI_Original-2021-12-13T14_44_41.871,6,7
raw/static/trackTest-13Dec2021-C306-Y0/9/FH512_noDither_gradSpoiled-2021-12-13T14_54_28.767,6,7
raw/static/trackTest-13Dec2021-C306-Y0/9/SRI_Original-2021-12-13T14_55_19.339,6,7
raw/static/trackTest-15Dec2021-C231-Y0/10/FH512_noDither_gradSpoiled-2021-12-15T16_41_17.777,6,7
raw/static/trackTest-15Dec2021-C231-Y0/10/SRI_Original-2021-12-15T16_42_31.124,6,7
raw/static/trackTest-15Dec2021-C231-Y0/11/FH512_noDither_gradSpoiled-2021-12-15T16_54_46.132,6,7
raw/static/trackTest-15Dec2021-C231-Y0/11/SRI_Original-2021-12-15T16_55_32.930,6,7
raw/static/trackTest-15Dec2021-C231-Y0/12/FH512_noDither_gradSpoiled-2021-12-15T17_11_08.948,6,7
raw/static/trackTest-15Dec2021-C231-Y0/12/SRI_Original-2021-12-15T17_11_58.462,6,7
raw/static/trackTest-15Dec2021-C231-Y0/13/FH512_noDither_gradSpoiled-2021-12-15T17_25_53.835,6,7
raw/static/trackTest-15Dec2021-C231-Y0/13/SRI_Original-2021-12-15T17_26_43.999,6,7
raw/static/trackTest-15Dec2021-C231-Y0/14/FH512_noDither_gradSpoiled-2021-12-15T17_41_52.902,6,7
raw/static/trackTest-15Dec2021-C231-Y0/14/SRI_Original-2021-12-15T17_42_43.966,6,7
raw/static/trackTest-15Dec2021-C231-Y0/15/FH512_noDither_gradSpoiled-2021-12-15T17_54_35.492,6,7
raw/static/trackTest-15Dec2021-C231-Y0/15/SRI_Original-2021-12-15T17_55_18.206,6,7
raw/static/trackTest-15Dec2021-C231-Y0/16/FH512_noDither_gradSpoiled-2021-12-15T18_09_56.409,6,7
raw/static/trackTest-15Dec2021-C231-Y0/16/SRI_Original-2021-12-15T18_10_51.925,6,7
raw/static/trackTest-15Dec2021-C231-Y0/1/FH512_noDither_gradSpoiled-2021-12-15T14_46_16.790,6,7
raw/static/trackTest-15Dec2021-C231-Y0/1/SRI_Original-2021-12-15T14_46_35.548,6,7
raw/static/trackTest-15Dec2021-C231-Y0/2/FH512_noDither_gradSpoiled-2021-12-15T14_57_24.682,6,7
raw/static/trackTest-15Dec2021-C231-Y0/2/SRI_Original-2021-12-15T14_58_09.144,6,7
raw/static/trackTest-15Dec2021-C231-Y0/3/FH512_noDither_gradSpoiled-2021-12-15T15_07_44.991,6,7
raw/static/trackTest-15Dec2021-C231-Y0/3/SRI_Original-2021-12-15T15_08_31.785,6,7
raw/static/trackTest-15Dec2021-C231-Y0/4/FH512_noDither_gradSpoiled-2021-12-15T15_17_46.738,6,7
raw/static/trackTest-15Dec2021-C231-Y0/4/SRI_Original-2021-12-15T15_18_39.502,6,7
raw/static/trackTest-15Dec2021-C231-Y0/5/FH512_noDither_gradSpoiled-2021-12-15T15_31_15.085,6,7
raw/static/trackTest-15Dec2021-C231-Y0/5/SRI_Original-2021-12-15T15_31_58.774,6,7
raw/static/trackTest-15Dec2021-C231-Y0/6/FH512_noDither_gradSpoiled-2021-12-15T15_42_06.256,6,7
raw/static/trackTest-15Dec2021-C231-Y0/6/SRI_Original-2021-12-15T15_42_50.901,6,7
raw/static/trackTest-15Dec2021-C231-Y0/7/FH512_noDither_gradSpoiled-2021-12-15T15_54_04.360,6,7
raw/static/trackTest-15Dec2021-C231-Y0/7/SRI_Original-2021-12-15T15_54_48.938,6,7
raw/static/trackTest-15Dec2021-C231-Y0/8/FH512_noDither_gradSpoiled-2021-12-15T16_05_08.438,6,7
raw/static/trackTest-15Dec2021-C231-Y0/8/SRI_Original-2021-12-15T16_05_52.686,6,7
raw/static/trackTest-15Dec2021-C231-Y0/9/FH512_noDither_gradSpoiled-2021-12-15T16_30_30.004,6,7
raw/static/trackTest-15Dec2021-C231-Y0/9/SRI_Original-2021-12-15T16_31_23.215,6,7
raw/static/trackTest-17Aug2021-C222-Y0/10/FH512_noDither_gradSpoiled-2021-08-17T14_48_20.421,4,5
raw/static/trackTest-17Aug2021-C222-Y0/10/SRI_Original-2021-08-17T14_50_18.200,4,5
raw/static/trackTest-17Aug2021-C222-Y0/11/FH512_noDither_gradSpoiled-2021-08-17T15_02_33.111,4,5
raw/static/trackTest-17Aug2021-C222-Y0/11/SRI_Original-2021-08-17T15_04_56.539,4,5
